6:0:30;25;501601;-76.533975;3.4416183;131
6:0:59;25;501601;-76.5339717;3.4416167;131
6:1:27;25;501601;-76.533965;3.4416183;131
6:1:56;25;501601;-76.5337917;3.4417167;131
6:2:26;25;501601;-76.533675;3.441775;131
6:2:54;25;501601;-76.533685;3.441775;131
6:3:24;25;501601;-76.5335083;3.4419333;131
6:3:52;25;501601;-76.5334267;3.4419483;131
6:4:8;25;501001;-76.532845;3.4421933;131
6:4:11;25;501001;-76.53276;3.44222;131
6:4:11;25;501001;-76.5326683;3.4422483;131
6:4:16;25;501001;-76.5323483;3.4423467;131
6:4:30;25;501001;-76.5321333;3.4423467;131
6:4:60;25;501001;-76.532215;3.4423333;131
6:5:20;25;501001;-76.53195;3.4424033;131
6:5:41;25;501001;-76.5297033;3.442695;131
6:5:56;25;501401;-76.5280967;3.4427083;131
6:6:11;25;501001;-76.52775;3.4427317;131
6:6:15;25;501401;-76.527725;3.442715;131
6:6:42;25;501401;-76.5275383;3.4426517;131
6:6:44;25;501401;-76.52741;3.4426467;131
6:7:14;25;501401;-76.526555;3.4426033;131
6:7:43;25;501401;-76.5266417;3.4425883;131
6:8:13;25;501401;-76.5260667;3.442545;131
6:8:27;25;501450;-76.5261433;3.443315;131
6:8:46;25;501450;-76.526215;3.4435917;131
6:9:3;25;501450;-76.5262783;3.4438417;131
6:9:30;25;501450;-76.5269883;3.4464117;131
6:9:43;25;501450;-76.527165;3.4469933;131
6:10:1;25;501450;-76.5271867;3.4469967;131
6:10:29;25;501450;-76.527515;3.448015;131
6:10:57;25;501500;-76.52766;3.4484617;131
6:10:59;25;501450;-76.52767;3.4484917;131
6:11:5;25;501500;-76.5277333;3.4486933;131
6:11:6;25;501500;-76.5277317;3.4487367;131
6:11:11;25;501500;-76.5278317;3.448955;131
6:11:34;25;501500;-76.5278633;3.4493267;131
6:11:41;25;501500;-76.5279533;3.4495917;131
6:12:9;25;501500;-76.5282867;3.450025;131
6:12:42;25;501500;-76.5288283;3.45181;131
6:12:42;25;501500;-76.5288567;3.4518767;131
6:13:12;25;501500;-76.5295483;3.45342;131
6:13:41;25;501500;-76.5297083;3.4535967;131
6:14:10;25;501500;-76.529825;3.453725;131
6:14:14;25;501550;-76.529905;3.4538983;131
6:14:39;25;501500;-76.530025;3.4541483;131
6:14:41;25;501550;-76.530025;3.45415;131
6:15:10;25;501550;-76.529915;3.4540967;131
6:15:13;25;501550;-76.53001;3.454255;131
6:15:15;25;501550;-76.5300333;3.4543083;131
6:15:19;25;501550;-76.5301417;3.454555;131
6:15:51;25;501550;-76.5304983;3.4552367;131
6:16:7;25;500601;-76.5305617;3.4565267;131
6:16:20;25;501550;-76.530405;3.4566617;131
